Id,Label,timeset,user_id,file,image,type,statuses,friends,followers,listed,ffr,lfr,shape
294,gatewaypundit,,19211550,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/19211550.jpg,friends,57616,1149,80755,2094,70.2829,0.2593,triangle-up
297,instapundit,,727472528,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/727472528.jpg,friends,594752,3847,84148,2273,21.8737,0.2701,triangle-up
318,joshdcaplan,,744070482832596992,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/744070482832596992.jpg,friends,6494,43,19946,260,463.8605,0.1304,triangle-up
53,VancouverAntifa,,847947128160649216,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/847947128160649216.jpg,friends,1570,331,1225,19,3.7009,0.1551,triangle-up
192,ali,,6782762,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/6782762.jpg,friends,147848,1804,48216,1347,26.7273,0.2794,triangle-up
15,ProudBoysUSA,,760446553077194752,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/760446553077194752.jpg,friends,7619,1934,19228,116,9.9421,0.0603,triangle-up
301,Nigel_Farage,,19017675,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/19017675.jpg,friends,12324,377,1033742,5208,2742.0212,0.0504,triangle-up
224,Independent,,16973333,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/16973333.png,friends,614395,1104,2382191,20927,2157.7817,0.0878,triangle-up
116,SanJoseAntifa,,848749151663792129,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/848749151663792129.jpg,friends,426,183,828,15,4.5246,0.1812,triangle-up
126,jordanbpeterson,,95092020,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/95092020.jpg,friends,7830,135,218703,1147,1620.0222,0.0524,triangle-up
159,_NinjaSocks_,,530967307,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/530967307.jpg,friends,6832,867,260,10,0.2999,0.3846,triangle-down
70,WSJ,,3108351,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/3108351.jpg,friends,217450,1093,14956083,107090,13683.516,0.0716,triangle-up
190,NathanDamigo,,2915187060,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/2915187060.jpg,friends,10847,386,20546,223,53.228,0.1085,triangle-up
267,TrueIslamUSA,,3472750333,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/3472750333.jpg,friends,21750,116,28547,162,246.0948,0.0567,triangle-up
272,PPFA,,402957663,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/402957663.jpg,friends,9126,819,206499,1633,252.1355,0.0791,triangle-up
40,AntifaUSA,,86807485,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/86807485.gif,friends,6562,751,1146,22,1.526,0.192,triangle-up
69,BillClinton,,1330457336,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/1330457336.jpg,friends,635,28,8774559,21505,313377.1071,0.0245,triangle-up
17,Lukewearechange,,95994080,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/95994080.jpg,friends,22053,2293,72378,1429,31.5648,0.1974,triangle-up
112,ProudBoysWestPA,,854145563650125824,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/854145563650125824.jpg,friends,84,144,386,3,2.6806,0.0777,triangle-up
164,ProudBoysVA,,832039928921853952,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/832039928921853952.jpg,friends,6823,281,749,6,2.6655,0.0801,triangle-up
166,AntifaNorthwest,,847720091085021186,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/847720091085021186.jpg,friends,930,279,489,8,1.7527,0.1636,triangle-up
231,Slate,,15164565,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/15164565.jpg,friends,295003,610,1777659,32880,2914.1951,0.185,triangle-up
68,BespokeCentrist,,840864006671851520,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/840864006671851520.jpg,friends,119,35,938,19,26.8,0.2026,triangle-up
142,MMFlint,,20479813,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/20479813.jpg,friends,13478,463,5470523,32757,11815.3844,0.0599,triangle-up
202,Ayaan,,15912890,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/15912890.jpg,friends,603,56,221313,1996,3952.0179,0.0902,triangle-up
81,BillNye,,37710752,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/37710752.jpg,friends,1987,109,5398370,20889,49526.3303,0.0387,triangle-up
326,BasedRVA,,874397043816632320,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/874397043816632320.jpg,friends,598,769,48337,0,62.857,0,triangle-up
243,AnaKasparian,,23865382,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/23865382.jpg,friends,16891,562,230779,2822,410.6388,0.1223,triangle-up
282,RightWingWatch,,17376893,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/17376893.jpg,friends,35081,387,57921,1798,149.6667,0.3104,triangle-up
121,UpperEastAntifa,,848126853546033153,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/848126853546033153.jpg,friends,367,47,271,6,5.766,0.2214,triangle-up
117,Mcfagens,,820474016955793408,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/820474016955793408.jpg,friends,19322,355,999,8,2.8141,0.0801,triangle-up
11,BasedStickMan_,,838563884021637120,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/838563884021637120.jpg,friends,1168,275,32965,229,119.8727,0.0695,triangle-up
145,Tiburon_Antifa,,849735492459311104,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/849735492459311104.jpg,friends,359,330,572,9,1.7333,0.1573,triangle-up
138,emmaroller,,66768858,officialantifa.dat,/Users/kettlewell/Desktop/twecoll-master/img/66768858.jpg,friends,2340,1378,26520,743,19.2453,0.2802,triangle-up
